Timeseries,Q_obs,NuiLe,GiaUi_Local,Junction1,Junction2,Reach1,Sink1
2019-02-11,0.0,3.8030152911963846e-05,1.9968847925051732e-05,3.8030152911963846e-05,5.8011725910872805e-05,3.8042877985821076e-05,5.8011725910872805e-05
2019-02-12,0.0,3.7649851382844214e-05,1.9769159445801214e-05,3.7649851382844214e-05,5.7435327248637214e-05,3.7666167802836e-05,5.7435327248637214e-05
2019-02-13,0.0,3.727335286901577e-05,1.95714678513432e-05,3.727335286901577e-05,5.685769713874162e-05,3.728622928739842e-05,5.685769713874162e-05
2019-02-14,0.0,3.690061934032561e-05,1.937575317282977e-05,3.690061934032561e-05,5.629200772515432e-05,3.691625455232455e-05,5.629200772515432e-05
2019-02-15,0.0,3.6531613146922354e-05,1.9181995641101474e-05,3.6531613146922354e-05,5.57265431243248e-05,3.654454748322332e-05,5.57265431243248e-05
2019-02-16,0.0,3.616629701545313e-05,1.8990175684690458e-05,3.616629701545313e-05,5.517151993399484e-05,3.618134424930439e-05,5.517151993399484e-05
2019-02-17,0.0,3.58046340452986e-05,1.8800273927843553e-05,3.58046340452986e-05,5.461782886602597e-05,3.5817554938182415e-05,5.461782886602597e-05
2019-02-18,0.0,3.544658770484562e-05,1.8612271188565118e-05,3.544658770484562e-05,5.407339171803246e-05,3.546112052946734e-05,5.407339171803246e-05
2019-02-19,0.0,3.509212182779716e-05,1.8426148476679468e-05,3.509212182779716e-05,5.353112350308708e-05,3.510497502640761e-05,5.353112350308708e-05
2019-02-20,0.0,3.474120060951918e-05,1.8241886991912672e-05,3.474120060951918e-05,5.299716429530869e-05,3.4755277303396014e-05,5.299716429530869e-05
2019-02-21,0.0,3.4393788603424e-05,1.8059468121993545e-05,3.4393788603424e-05,5.2466001242361346e-05,3.44065331203678e-05,5.2466001242361346e-05
2019-02-22,0.0,3.4049850717389754e-05,1.787887344077361e-05,3.4049850717389754e-05,5.1942391103578815e-05,3.406351766280521e-05,5.1942391103578815e-05
2019-02-23,0.0,3.370935221021585e-05,1.7700084706365874e-05,3.370935221021585e-05,5.1422042041111054e-05,3.372195733474518e-05,5.1422042041111054e-05
2019-02-24,0.0,3.33722586881137e-05,1.7523083859302218e-05,3.33722586881137e-05,5.090863686659106e-05,3.338555300728884e-05,5.090863686659106e-05
2019-02-25,0.0,3.3038536101232564e-05,1.734785302070919e-05,3.3038536101232564e-05,5.0398832101087626e-05,3.3050979080378434e-05,5.0398832101087626e-05
2019-02-26,0.0,3.270815074022024e-05,1.71743744905021e-05,3.270815074022024e-05,4.989547683327186e-05,3.272110234276976e-05,4.989547683327186e-05
2019-02-27,0.0,3.238106923281804e-05,1.700263074559708e-05,3.238106923281804e-05,4.9395964216787655e-05,3.2393333471190575e-05,4.9395964216787655e-05
2019-02-28,0.0,3.205725854048986e-05,1.6832604438141107e-05,3.205725854048986e-05,4.890249615188772e-05,3.206989171374662e-05,4.890249615188772e-05
